"Plot Title: 4_m_MIS"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889830, SEN S/N: 20889830, LBL: 4 m)","Intensity, lum/ft² (LGR S/N: 20889830, SEN S/N: 20889830, LBL: 4 m)"
1,07/08/22 08:00:00 PM,8.581,32.0
2,07/08/22 08:30:00 PM,8.382,21.0
3,07/08/22 09:00:00 PM,8.481,12.0
4,07/08/22 09:30:00 PM,8.779,4.0
5,07/08/22 10:00:00 PM,8.581,0.0
6,07/08/22 10:30:00 PM,8.680,0.0
7,07/08/22 11:00:00 PM,8.082,0.0
8,07/08/22 11:30:00 PM,8.182,0.0
9,07/09/22 12:00:00 AM,8.282,0.0
10,07/09/22 12:30:00 AM,8.680,0.0
11,07/09/22 01:00:00 AM,8.481,0.0
12,07/09/22 01:30:00 AM,8.481,0.0
13,07/09/22 02:00:00 AM,8.282,0.0
14,07/09/22 02:30:00 AM,8.282,0.0
15,07/09/22 03:00:00 AM,8.382,0.0
16,07/09/22 03:30:00 AM,8.382,0.0
17,07/09/22 04:00:00 AM,8.481,0.0
18,07/09/22 04:30:00 AM,8.481,0.0
19,07/09/22 05:00:00 AM,8.182,0.0
20,07/09/22 05:30:00 AM,8.581,0.0
21,07/09/22 06:00:00 AM,8.481,3.0
22,07/09/22 06:30:00 AM,8.382,20.0
23,07/09/22 07:00:00 AM,8.382,89.0
24,07/09/22 07:30:00 AM,8.779,160.0
25,07/09/22 08:00:00 AM,8.680,224.0
26,07/09/22 08:30:00 AM,8.680,76.0
27,07/09/22 09:00:00 AM,8.779,121.0
28,07/09/22 09:30:00 AM,8.779,240.0
29,07/09/22 10:00:00 AM,8.581,120.0
30,07/09/22 10:30:00 AM,8.978,80.0
31,07/09/22 11:00:00 AM,9.176,144.0
32,07/09/22 11:30:00 AM,9.275,117.0
33,07/09/22 12:00:00 PM,9.077,168.0
34,07/09/22 12:30:00 PM,8.680,704.0
35,07/09/22 01:00:00 PM,8.879,672.0
36,07/09/22 01:30:00 PM,9.373,256.0
37,07/09/22 02:00:00 PM,9.077,400.0
38,07/09/22 02:30:00 PM,9.176,272.0
39,07/09/22 03:00:00 PM,8.680,208.0
40,07/09/22 03:30:00 PM,8.779,160.0
41,07/09/22 04:00:00 PM,8.879,152.0
42,07/09/22 04:30:00 PM,8.680,79.0
43,07/09/22 05:00:00 PM,9.373,320.0
44,07/09/22 05:30:00 PM,9.275,100.0
45,07/09/22 06:00:00 PM,8.680,99.0
46,07/09/22 06:30:00 PM,8.581,53.0
47,07/09/22 07:00:00 PM,9.275,75.0
48,07/09/22 07:30:00 PM,8.779,66.0
49,07/09/22 08:00:00 PM,8.978,28.0
50,07/09/22 08:30:00 PM,8.382,17.0
51,07/09/22 09:00:00 PM,8.581,9.0
52,07/09/22 09:30:00 PM,8.879,4.0
53,07/09/22 10:00:00 PM,9.077,0.0
54,07/09/22 10:30:00 PM,9.077,0.0
55,07/09/22 11:00:00 PM,8.382,0.0
56,07/09/22 11:30:00 PM,8.779,0.0
57,07/10/22 12:00:00 AM,8.481,0.0
