date,lake,funct,mgO2_day
2020-08-08,MCD,NEP,0.03788503933296668
2020-08-08,MCD,GPP2,0.03427087343709659
2020-08-08,MCD,R2,-0.00361416589587008
2020-08-08,MCD,NEP2,0.03788503933296668
2020-08-08,MCD,NEP3,0.0306567075412265
2020-08-08,MCD,GPPsd,0.01038725712403829
2020-08-08,MCD,Rsd,0.01020226914379541
2020-08-08,MCD,NEPsd,0.01455958125233429
2020-08-09,MCD,GPP,0.1949012454742419
2020-08-09,MCD,R,-0.08143550398024807
2020-08-09,MCD,NEP,0.11346574149399384
2020-08-09,MCD,GPP2,0.1949012454742419
2020-08-09,MCD,R2,-0.08143550398024807
2020-08-09,MCD,NEP2,0.11346574149399384
2020-08-09,MCD,NEP3,0.11346574149399384
2020-08-09,MCD,GPPsd,0.01210714282391051
2020-08-09,MCD,Rsd,0.0119465863476995
2020-08-09,MCD,NEPsd,0.01700893390902581
2020-08-10,MCD,GPP,-0.00150448167160924
2020-08-10,MCD,R,-0.04982651094800384
2020-08-10,MCD,NEP,-0.05133099261961309
2020-08-10,MCD,GPP2,0.00150448167160924
2020-08-10,MCD,R2,-0.04982651094800384
2020-08-10,MCD,NEP2,-0.05133099261961309
2020-08-10,MCD,NEP3,-0.04832202927639459
2020-08-10,MCD,GPPsd,0.01268293252395541
2020-08-10,MCD,Rsd,0.01231685305597873
2020-08-10,MCD,NEPsd,0.01767941307311356
2020-08-11,MCD,GPP,0.12102478337669534
2020-08-11,MCD,R,-0.10580804219634882
2020-08-11,MCD,NEP,0.01521674118034652
2020-08-11,MCD,GPP2,0.12102478337669534
2020-08-11,MCD,R2,-0.10580804219634882
2020-08-11,MCD,NEP2,0.01521674118034652
2020-08-11,MCD,NEP3,0.01521674118034652
2020-08-11,MCD,GPPsd,0.01206891385090693
2020-08-11,MCD,Rsd,0.01151255038222814
2020-08-11,MCD,NEPsd,0.01667925351578884
2020-08-12,MCD,GPP,0.08788421911065139
2020-08-12,MCD,R,-0.02352733865129017
2020-08-12,MCD,NEP,0.06435688045936122
2020-08-12,MCD,GPP2,0.08788421911065139
2020-08-12,MCD,R2,-0.02352733865129017
2020-08-12,MCD,NEP2,0.06435688045936122
