date,lake,funct,model,mgO2_day
8/3/20,MCD,GPPsd,bayes,0.070548222
8/3/20,MCD,Rsd,bayes,0.07216906
8/3/20,MCD,NEPsd,bayes,0.100922866
8/4/20,MCD,GPP,bayes,0.083465733
8/4/20,MCD,GPP,book,-0.014112565
8/4/20,MCD,R,bayes,-0.03764587
8/4/20,MCD,R,book,0.042632986
8/4/20,MCD,NEP,bayes,0.045819863
8/4/20,MCD,NEP,book,0.045415299
8/4/20,MCD,GPP2,bayes,0.083465733
8/4/20,MCD,GPP2,book,0.014112565
8/4/20,MCD,R2,bayes,-0.03764587
8/4/20,MCD,R2,book,-0.042632986
8/4/20,MCD,NEP2,bayes,0.045819863
8/4/20,MCD,NEP2,book,-0.028520421
8/4/20,MCD,NEP3,bayes,0.045819863
8/4/20,MCD,NEP3,book,-0.028520421
8/4/20,MCD,GPPsd,bayes,0.022718319
8/4/20,MCD,Rsd,bayes,0.02235423
8/4/20,MCD,NEPsd,bayes,0.031872145
8/5/20,MCD,GPP,bayes,0.08442644
8/5/20,MCD,GPP,book,0.144537682
8/5/20,MCD,R,bayes,-0.107098467
8/5/20,MCD,R,book,-0.135075158
8/5/20,MCD,NEP,bayes,-0.022672027
8/5/20,MCD,NEP,book,-0.043367869
8/5/20,MCD,GPP2,bayes,0.08442644
8/5/20,MCD,GPP2,book,0.144537682
8/5/20,MCD,R2,bayes,-0.107098467
8/5/20,MCD,R2,book,-0.135075158
8/5/20,MCD,NEP2,bayes,-0.022672027
8/5/20,MCD,NEP2,book,0.009462525
8/5/20,MCD,NEP3,bayes,-0.022672027
8/5/20,MCD,NEP3,book,0.009462525
8/5/20,MCD,GPPsd,bayes,0.013248232
8/5/20,MCD,Rsd,bayes,0.01352904
8/5/20,MCD,NEPsd,bayes,0.018935432
8/6/20,MCD,GPP,bayes,0.079204594
8/6/20,MCD,GPP,book,0.178933967
8/6/20,MCD,R,bayes,-0.08835782
8/6/20,MCD,R,book,-0.14129971
8/6/20,MCD,NEP,bayes,-0.009153226
8/6/20,MCD,NEP,book,-0.017436719
8/6/20,MCD,GPP2,bayes,0.079204594
8/6/20,MCD,GPP2,book,0.178933967
8/6/20,MCD,R2,bayes,-0.08835782
8/6/20,MCD,R2,book,-0.14129971
8/6/20,MCD,NEP2,bayes,-0.009153226
8/6/20,MCD,NEP2,book,0.037634256
8/6/20,MCD,NEP3,bayes,-0.009153226
8/6/20,MCD,NEP3,book,0.037634256
8/6/20,MCD,GPPsd,bayes,0.015545048
8/6/20,MCD,Rsd,bayes,0.014751967
8/6/20,MCD,NEPsd,bayes,0.021430563
8/7/20,MCD,GPP,bayes,0.151520144
8/7/20,MCD,GPP,book,0.421595006
8/7/20,MCD,R,bayes,-0.014001227
8/7/20,MCD,R,book,-0.203171414
8/7/20,MCD,NEP,bayes,0.137518917
8/7/20,MCD,NEP,book,0.1403874
8/7/20,MCD,GPP2,bayes,0.151520144
8/7/20,MCD,GPP2,book,0.421595006
8/7/20,MCD,R2,bayes,-0.014001227
8/7/20,MCD,R2,book,-0.203171414
8/7/20,MCD,NEP2,bayes,0.137518917
8/7/20,MCD,NEP2,book,0.218423593
8/7/20,MCD,NEP3,bayes,0.137518917
8/7/20,MCD,NEP3,book,0.218423593
8/7/20,MCD,GPPsd,bayes,0.020993827
8/7/20,MCD,Rsd,bayes,0.021025187
8/7/20,MCD,NEPsd,bayes,0.029711938
8/8/20,MCD,GPP,bayes,0.034270873
8/8/20,MCD,GPP,book,0.063095985
8/8/20,MCD,R,bayes,0.003614166
8/8/20,MCD,R,book,-0.015202938
8/8/20,MCD,NEP,bayes,0.037885039
8/8/20,MCD,NEP,book,0.042274364
8/8/20,MCD,GPP2,bayes,0.034270873
8/8/20,MCD,GPP2,book,0.063095985
8/8/20,MCD,R2,bayes,-0.003614166
8/8/20,MCD,R2,book,-0.015202938
8/8/20,MCD,NEP2,bayes,0.037885039
8/8/20,MCD,NEP2,book,0.047893046
8/8/20,MCD,NEP3,bayes,0.030656708
8/8/20,MCD,NEP3,book,0.047893046
8/8/20,MCD,GPPsd,bayes,0.010387257
8/8/20,MCD,Rsd,bayes,0.010202269
8/8/20,MCD,NEPsd,bayes,0.014559581
8/9/20,MCD,GPP,bayes,0.194901245
8/9/20,MCD,GPP,book,0.456446881
8/9/20,MCD,R,bayes,-0.081435504
8/9/20,MCD,R,book,-0.252349969
8/9/20,MCD,NEP,bayes,0.113465741
8/9/20,MCD,NEP,book,0.106701798
8/9/20,MCD,GPP2,bayes,0.194901245
8/9/20,MCD,GPP2,book,0.456446881
8/9/20,MCD,R2,bayes,-0.081435504
8/9/20,MCD,R2,book,-0.252349969
8/9/20,MCD,NEP2,bayes,0.113465741
8/9/20,MCD,NEP2,book,0.204096912
