datetime,lake,depth,temp
2020-06-25T05:30:00Z,UPH,4,5.347
2020-06-25T05:30:00Z,UPH,8,3.998
2020-06-25T05:30:00Z,UPH,1,7.035
2020-06-25T06:00:00Z,UPH,0,8.68
2020-06-25T06:00:00Z,UPH,2,6.471
2020-06-25T06:00:00Z,UPH,4,5.45
2020-06-25T06:00:00Z,UPH,8,3.998
2020-06-25T06:00:00Z,UPH,1,6.987
2020-06-25T06:30:00Z,UPH,0,8.581
2020-06-25T06:30:00Z,UPH,2,6.471
2020-06-25T06:30:00Z,UPH,4,5.45
2020-06-25T06:30:00Z,UPH,8,3.998
2020-06-25T06:30:00Z,UPH,1,7.016
2020-06-25T07:00:00Z,UPH,0,8.481
2020-06-25T07:00:00Z,UPH,2,6.471
2020-06-25T07:00:00Z,UPH,4,5.45
2020-06-25T07:00:00Z,UPH,8,3.998
2020-06-25T07:00:00Z,UPH,1,6.881
2020-06-25T07:30:00Z,UPH,0,8.382
2020-06-25T07:30:00Z,UPH,2,6.37
2020-06-25T07:30:00Z,UPH,4,5.45
2020-06-25T07:30:00Z,UPH,8,3.998
2020-06-25T07:30:00Z,UPH,1,6.804
2020-06-25T08:00:00Z,UPH,0,9.472
2020-06-25T08:00:00Z,UPH,2,6.674
2020-06-25T08:00:00Z,UPH,4,5.552
2020-06-25T08:00:00Z,UPH,8,3.998
2020-06-25T08:00:00Z,UPH,1,6.852
2020-06-25T08:30:00Z,UPH,0,9.768
2020-06-25T08:30:00Z,UPH,2,6.674
2020-06-25T08:30:00Z,UPH,4,5.45
2020-06-25T08:30:00Z,UPH,8,3.998
2020-06-25T08:30:00Z,UPH,1,6.813
2020-06-25T09:00:00Z,UPH,0,11.431
2020-06-25T09:00:00Z,UPH,2,6.674
2020-06-25T09:00:00Z,UPH,4,5.45
2020-06-25T09:00:00Z,UPH,8,3.998
2020-06-25T09:00:00Z,UPH,1,6.891
2020-06-25T09:30:00Z,UPH,0,9.176
2020-06-25T09:30:00Z,UPH,2,6.674
2020-06-25T09:30:00Z,UPH,4,5.45
2020-06-25T09:30:00Z,UPH,8,3.998
2020-06-25T09:30:00Z,UPH,1,7.14
2020-06-25T10:00:00Z,UPH,0,9.077
2020-06-25T10:00:00Z,UPH,2,6.877
2020-06-25T10:00:00Z,UPH,4,5.552
