time,latitude,longitude,vgrd10m,ugrd10m
2020-06-10T09:00:00Z,47.5,246.5,1.10281,1.5074512
2020-06-10T09:00:00Z,48,246.5,0.85281,1.1974511
2020-06-10T12:00:00Z,47,246.5,0.53843015,0.91962403
2020-06-10T12:00:00Z,47.5,246.5,0.08843017,1.169624
2020-06-10T12:00:00Z,48,246.5,0.73843014,0.999624
2020-06-10T15:00:00Z,47,246.5,0.43995604,0.9989087
2020-06-10T15:00:00Z,47.5,246.5,0.45995605,0.66890866
2020-06-10T15:00:00Z,48,246.5,0.669956,1.8389087
2020-06-10T18:00:00Z,47,246.5,0.42167112,4.3593287
2020-06-10T18:00:00Z,47.5,246.5,0.18167114,1.2993286
2020-06-10T18:00:00Z,48,246.5,0.8416711,3.3393285
2020-06-10T21:00:00Z,47,246.5,0.5585254,5.69353
2020-06-10T21:00:00Z,47.5,246.5,-0.3314746,3.5535302
2020-06-10T21:00:00Z,48,246.5,-0.1714746,4.38353
2020-06-11T00:00:00Z,47,246.5,-0.46812254,3.750703
2020-06-11T00:00:00Z,47.5,246.5,-0.14812255,2.610703
2020-06-11T00:00:00Z,48,246.5,0.44187742,4.810703
2020-06-11T03:00:00Z,47,246.5,-1.1490551,1.0237793
2020-06-11T03:00:00Z,47.5,246.5,-0.16905518,1.3937793
2020-06-11T03:00:00Z,48,246.5,0.7309448,1.4737793
2020-06-11T06:00:00Z,47,246.5,-0.85493284,0.5361914
2020-06-11T06:00:00Z,47.5,246.5,1.0850672,0.056191403
2020-06-11T06:00:00Z,48,246.5,1.5850672,0.096191406
2020-06-11T09:00:00Z,47,246.5,-0.01225586,-0.01362793
2020-06-11T09:00:00Z,47.5,246.5,1.907744,0.50637203
2020-06-11T09:00:00Z,48,246.5,0.9577441,0.50637203
2020-06-11T12:00:00Z,47,246.5,-0.6254126,-0.5589673
2020-06-11T12:00:00Z,47.5,246.5,1.4045874,-0.72896725
2020-06-11T12:00:00Z,48,246.5,1.0045874,-0.29896727
2020-06-11T15:00:00Z,47,246.5,-0.038061522,-0.8909155
2020-06-11T15:00:00Z,47.5,246.5,1.6619384,0.49908447
2020-06-11T15:00:00Z,48,246.5,0.42193848,1.0890845
2020-06-11T18:00:00Z,47,246.5,0.05298584,-0.96249264
2020-06-11T18:00:00Z,47.5,246.5,1.7729858,1.2475073
2020-06-11T18:00:00Z,48,246.5,0.50298584,2.5375073
2020-06-11T21:00:00Z,47,246.5,0.59745115,0.5313403
2020-06-11T21:00:00Z,47.5,246.5,3.077451,0.8913403
2020-06-11T21:00:00Z,48,246.5,1.5674511,2.1513402
2020-06-12T00:00:00Z,47,246.5,-2.911543,1.5056055
2020-06-12T00:00:00Z,47.5,246.5,3.308457,2.1556053
2020-06-12T00:00:00Z,48,246.5,0.07845703,-0.35439453
2020-06-12T03:00:00Z,47,246.5,-0.50987303,-0.40390745
2020-06-12T03:00:00Z,47.5,246.5,0.55012697,-1.9239074
2020-06-12T03:00:00Z,48,246.5,0.77012694,-1.4039074
2020-06-12T06:00:00Z,47,246.5,-0.50983155,-0.4882202
2020-06-12T06:00:00Z,47.5,246.5,0.66016847,-1.8982202
