"","GPP","R","NEP","datetime"
"1",-0.249718145955858,-0.0428854090942539,-0.313428450806669,2020-06-25
"2",-0.030087962061509,-0.295413744482295,-0.432993655868496,2020-06-26
"3",-0.783097043452282,0.311634414047885,-0.375405438013721,2020-06-27
"4",-0.0492983201689599,-0.0941635595486685,-0.178569939983508,2020-06-28
"5",0.00615838451335536,-0.0708315901245813,-0.0901621130070669,2020-06-29
"6",-0.115338394815226,0.0185357494682354,-0.092552233726889,2020-06-30
"7",0.0958036023259166,-0.258585760529315,-0.254274803451748,2020-07-01
"8",0.000567627467345996,-0.0871039264058926,-0.118029897266905,2020-07-02
"9",-0.199213766266531,-0.0300789370373274,-0.244410909599626,2020-07-03
"10",0.110401278439586,-0.469593712024766,-0.52669651498904,2020-07-04
"11",-0.592692656423807,0.279921128112577,-0.224133942747613,2020-07-05
"12",-0.634317608073578,0.1442215876827,-0.451426884592318,2020-07-06
"13",-0.834730438239028,0.220600176619074,-0.55209893046495,2020-07-07
"14",-0.303264515485253,0.0742207775113615,-0.20865036133117,2020-07-08
"15",-0.234432204232884,0.09637021511353,-0.108192596508777,2020-07-09
"16",-0.353707030562902,0.209653412557231,-0.0757472141139679,2020-07-10
"17",-0.0773613148833101,-0.125249071006143,-0.249559226782809,2020-07-11
"18",1.22996027769368,-1.32921283726777,-0.553862303315753,2020-07-12
"19",0.0589666079150469,-0.166289250373766,-0.166215209446783,2020-07-13
"20",0.0949681374911442,-0.153753396592294,-0.112377591113444,2020-07-14
"21",0.0301709354857954,-0.089059520561335,-0.090459668353346,2020-07-15
"22",0.33914427081578,-0.363582943463427,-0.148731561329827,2020-07-16
"23",-0.0531131742259738,-0.0795457880459384,-0.162560910591209,2020-07-17
"24",0.0243717638488303,-0.16526427266343,-0.200150399696077,2020-07-18
"25",-0.0250425471890997,-0.0720216878578611,-0.123647452935742,2020-07-19
"26",-0.0377675627079668,-0.0637817325281197,-0.125422848761321,2020-07-20
"27",0.491123916550874,-0.562092390098622,-0.263829041954679,2020-07-22
"28",0.322503944873582,-0.436703923082125,-0.265294930283491,2020-07-23
"29",-0.161435063336622,0.0567061061905317,-0.087653026467315,2020-07-24
