"","GPP","R","NEP","datetime"
"1",2.0188386809967,-1.53444965401948,-0.0276706631788288,2020-06-24
"2",-0.563393045875043,0.102452447762581,-0.435870415855253,2020-06-25
"3",0.662967073038243,-0.856398136587902,-0.489086409272129,2020-06-26
"4",0.312190953701031,-0.385641413716379,-0.206295419153166,2020-06-27
"5",-0.408872116315575,0.156920267416189,-0.203892861032159,2020-06-28
"6",0.0717499362872488,-0.363732871548747,-0.422019294411316,2020-06-29
"7",2.62150369252025,-2.63416136773456,-0.909662772213613,2020-06-30
"8",0.118627744329607,-0.217713830760567,-0.175309647677769,2020-07-01
"9",1.66815632250638,-1.66426220774965,-0.562580379056836,2020-07-02
"10",0.745860800055448,-0.970182921708749,-0.559369969929755,2020-07-03
"11",0.298654223585523,-0.0899936423438519,0.182464034512736,2020-07-04
"12",0.536746278172045,-0.745196525816968,-0.466569282979314,2020-07-05
"13",0.088535343247703,-0.476118926529228,-0.557913081318741,2020-07-06
"14",0.323070493206474,-0.577406993247989,-0.456311997743841,2020-07-07
"15",0.126065290758517,-0.340351160138415,-0.334709367924463,2020-07-09
"16",0.593302905192128,-0.71114614483556,-0.362442847239441,2020-07-11
"17",1.24665621412351,-1.40161073979634,-0.63539551210717,2020-07-12
"18",0.639437555800849,-0.800211030862793,-0.436606453122936,2020-07-13
"19",0.931818214868759,-1.07138499663465,-0.507263095125891,2020-07-14
"20",0.375253365734443,-0.672619463523525,-0.53266987468622,2020-07-15
"21",0.874010898139413,-1.21672527293897,-0.764210518242597,2020-07-16
"22",0.683770017068425,-0.928755340252791,-0.566369807593494,2020-07-17
"23",0.372675320938782,-0.575087321371477,-0.40249304601517,2020-07-18
"24",0.266455091316181,-0.937995744447396,-1.00514645237142,2020-07-19
"25",-2.13571438689047,-0.65136020414631,-3.06811369438524,2020-07-20
"26",0.461608725288558,-0.417767424283417,-0.115221940188399,2020-08-06
"27",0.661646545052382,-0.585752252721482,-0.146821585470287,2020-08-07
"28",-0.748130462197436,0.575539108912454,0.0441557234626594,2020-08-08
"29",0.841987625601169,-0.664196527274898,-0.0727992504529173,2020-08-09
"30",0.28116146777799,-0.261006032135444,-0.0793754822892719,2020-08-10
"31",0.101405726782159,-0.174960481162329,-0.142125890875958,2020-08-11
"32",-0.0937386966765047,0.0911230690782505,0.0322269174189853,2020-08-12
"33",-0.0713432762566056,0.109458377631264,0.0808462907094969,2020-08-13
"34",0.147150332223727,-0.373836129853605,-0.374680183480831,2020-08-14
"35",-0.683706038751318,0.696811657748229,0.280248501091912,2020-08-15
"36",0.367823815062943,-0.347188596003972,-0.126665561813805,2020-08-26
"37",0.302102170955498,-0.313779527083253,-0.145449013527603,2020-08-27
"38",0.328973474114372,-0.280338882819955,-0.0696237717929162,2020-08-29
"39",0.220072432699225,-0.130035683227879,0.0366180917035543,2020-08-30
"40",0.0778061119737336,-0.0383936620603989,0.0239132841411082,2020-08-31
"41",0.624962844973363,-0.698176527876726,-0.371867815678636,2020-09-01
"42",-0.00948023780451387,0.161928106247099,0.224597017238001,2020-09-02
"43",0.345603981091952,-0.38421159794137,-0.202923352502117,2020-09-03
"44",0.320000317275314,-0.247757170419464,-0.0316483480703937,2020-09-04
"45",0.729788313135223,-0.653732953882191,-0.22832910087793,2020-09-05
"46",0.618589429477978,-0.440861714258335,-0.0248516464497972,2020-09-06
"47",-0.325592540628624,0.842102026762796,0.921674466451526,2020-09-07
"48",-0.163854729210268,0.0584660844903852,-0.0802638529311893,2020-09-08
"49",0.556182715016425,-0.549682854224249,-0.25066020159381,2020-09-09
"50",0.388464379843595,-0.26242062700512,0.00589034770498287,2020-09-10
"51",0.0400734320979325,-0.184077559213861,-0.23323200860148,2020-09-11
"52",0.108358553050698,-0.159651919186879,-0.127115399928682,2020-09-12
"53",0.167301263682766,0.00560766587002159,0.179212707822857,2020-09-13
"54",0.248141720162191,-0.203611170975161,-0.0498293489463005,2020-09-14
