datetime,lake,funct,mgO2_day
2020-08-16,MCD,GPP,0.12880838386846644
2020-08-16,MCD,R,-0.09077077538689526
2020-08-16,MCD,NEP,0.001487487055288962
2020-08-16,MCD,GPP2,0.12880838386846644
2020-08-16,MCD,R2,-0.09077077538689526
2020-08-16,MCD,NEP2,0.03803760848157117
2020-08-17,MCD,GPP,0.3460316221950204
2020-08-17,MCD,R,-0.28710789218994204
2020-08-17,MCD,NEP,-0.05711357081318428
2020-08-17,MCD,GPP2,0.3460316221950204
2020-08-17,MCD,R2,-0.28710789218994204
2020-08-17,MCD,NEP2,0.05892373000507839
2020-08-18,MCD,GPP,0.631424211034862
2020-08-18,MCD,R,-0.464392799528247
2020-08-18,MCD,NEP,-0.02665066234085501
2020-08-18,MCD,GPP2,0.631424211034862
2020-08-18,MCD,R2,-0.464392799528247
2020-08-18,MCD,NEP2,0.167031411506615
2020-08-19,MCD,GPP,1.9917754842574316
2020-08-19,MCD,R,-1.3099553294699002
2020-08-19,MCD,NEP,0.1369565211273462
2020-08-19,MCD,GPP2,1.9917754842574316
2020-08-19,MCD,R2,-1.3099553294699002
2020-08-19,MCD,NEP2,0.6818201547875313
2020-08-20,MCD,GPP,0.25620000517785174
2020-08-20,MCD,R,-0.10739394558154529
2020-08-20,MCD,NEP,0.10478626466416371
2020-08-20,MCD,GPP2,0.25620000517785174
2020-08-20,MCD,R2,-0.10739394558154529
2020-08-20,MCD,NEP2,0.14880605959630644
2020-08-21,MCD,GPP,0.2692469584091554
2020-08-21,MCD,R,-0.11909714944088177
2020-08-21,MCD,NEP,0.10122897569915033
2020-08-21,MCD,GPP2,0.2692469584091554
2020-08-21,MCD,R2,-0.11909714944088177
2020-08-21,MCD,NEP2,0.15014980896827362
2020-08-22,MCD,GPP,-0.05032263012690244
2020-08-22,MCD,R,0.15601784253024237
2020-08-22,MCD,NEP,0.17189637159367477
2020-08-22,MCD,GPP2,0.05032263012690244
2020-08-22,MCD,R2,-0.15601784253024237
2020-08-22,MCD,NEP2,-0.10569521240333993
2020-08-23,MCD,GPP,0.3939427179127039
2020-08-23,MCD,R,-0.29362788290705655
2020-08-23,MCD,NEP,-0.02218417296230887
2020-08-23,MCD,GPP2,0.3939427179127039
2020-08-23,MCD,R2,-0.29362788290705655
2020-08-23,MCD,NEP2,0.10031483500564736
2020-08-24,MCD,GPP,-0.0023700621250574427
2020-08-24,MCD,R,0.14465593591906628
2020-08-24,MCD,NEP,0.2059988381351006
2020-08-24,MCD,GPP2,0.0023700621250574427
2020-08-24,MCD,R2,-0.14465593591906628
2020-08-24,MCD,NEP2,-0.14228587379400884
2020-08-25,MCD,GPP,0.28176177995835294
2020-08-25,MCD,R,-0.19291898360923784
2020-08-25,MCD,NEP,0.00582087895454424
2020-08-25,MCD,GPP2,0.28176177995835294
2020-08-25,MCD,R2,-0.19291898360923784
2020-08-25,MCD,NEP2,0.0888427963491151
2020-08-26,MCD,GPP,0.6414472914114202
2020-08-26,MCD,R,-0.37653518954365967
2020-08-26,MCD,NEP,0.10351161480594837
2020-08-26,MCD,GPP2,0.6414472914114202
2020-08-26,MCD,R2,-0.37653518954365967
2020-08-26,MCD,NEP2,0.26491210186776054
2020-08-27,MCD,GPP,0.1649105166584332
2020-08-27,MCD,R,-0.06938787827737297
2020-08-27,MCD,NEP,0.06610637394178703
2020-08-27,MCD,GPP2,0.1649105166584332
2020-08-27,MCD,R2,-0.06938787827737297
2020-08-27,MCD,NEP2,0.09552263838106023
2020-08-28,MCD,GPP,0.19829312703448698
2020-08-28,MCD,R,-0.08584115004111123
2020-08-28,MCD,NEP,0.07602051317830218
2020-08-28,MCD,GPP2,0.19829312703448698
2020-08-28,MCD,R2,-0.08584115004111123
2020-08-28,MCD,NEP2,0.11245197699337575
2020-08-29,MCD,GPP,0.9704111953580666
2020-08-29,MCD,R,-0.5224466553112213
2020-08-29,MCD,NEP,0.22458182613601413
2020-08-29,MCD,GPP2,0.9704111953580666
2020-08-29,MCD,R2,-0.5224466553112213
2020-08-29,MCD,NEP2,0.4479645400468454
2020-08-30,MCD,GPP,1.0236279374211887
2020-08-30,MCD,R,-0.6946217283327139
2020-08-30,MCD,NEP,0.020427297170955944
2020-08-30,MCD,GPP2,1.0236279374211887
2020-08-30,MCD,R2,-0.6946217283327139
2020-08-30,MCD,NEP2,0.3290062090884749
2020-08-31,MCD,GPP,0.16001412544094076
2020-08-31,MCD,R,-0.07564193830915864
2020-08-31,MCD,NEP,0.051108467798534785
2020-08-31,MCD,GPP2,0.16001412544094076
2020-08-31,MCD,R2,-0.07564193830915864
2020-08-31,MCD,NEP2,0.08437218713178213
2020-09-01,MCD,GPP,0.6714695608038512
2020-09-01,MCD,R,-0.40708739186209153
2020-09-01,MCD,NEP,0.08403803670237438
2020-09-01,MCD,GPP2,0.6714695608038512
2020-09-01,MCD,R2,-0.40708739186209153
2020-09-01,MCD,NEP2,0.2643821689417597
2020-09-02,MCD,GPP,0.6269465280775832
2020-09-02,MCD,R,-0.3299126446942242
2020-09-02,MCD,NEP,0.1514578317956179
2020-09-02,MCD,GPP2,0.6269465280775832
2020-09-02,MCD,R2,-0.3299126446942242
2020-09-02,MCD,NEP2,0.297033883383359
2020-09-03,MCD,GPP,0.3092655818640483
2020-09-03,MCD,R,-0.2474166508541561
2020-09-03,MCD,NEP,-0.04845048663805256
2020-09-03,MCD,GPP2,0.3092655818640483
2020-09-03,MCD,R2,-0.2474166508541561
2020-09-03,MCD,NEP2,0.061848931009892194
2020-09-04,MCD,GPP,0.33320444929381554
2020-09-04,MCD,R,-0.25489738345493107
2020-09-04,MCD,NEP,-0.035225280142071484
2020-09-04,MCD,GPP2,0.33320444929381554
2020-09-04,MCD,R2,-0.25489738345493107
2020-09-04,MCD,NEP2,0.07830706583888447
2020-09-05,MCD,GPP,0.47442661804195796
2020-09-05,MCD,R,-0.3068166066589781
2020-09-05,MCD,NEP,0.027174444752842957
2020-09-05,MCD,GPP2,0.47442661804195796
2020-09-05,MCD,R2,-0.3068166066589781
2020-09-05,MCD,NEP2,0.16761001138297987
2020-09-06,MCD,GPP,0.4060547883875655
2020-09-06,MCD,R,-0.2667414955396669
2020-09-06,MCD,NEP,0.017176052199156498
2020-09-06,MCD,GPP2,0.4060547883875655
2020-09-06,MCD,R2,-0.2667414955396669
2020-09-06,MCD,NEP2,0.13931329284789856
2020-09-07,MCD,GPP,0.3626219969979646
2020-09-07,MCD,R,-0.13539092321136284
2020-09-07,MCD,NEP,0.16633198386937556
2020-09-07,MCD,GPP2,0.3626219969979646
2020-09-07,MCD,R2,-0.13539092321136284
2020-09-07,MCD,NEP2,0.22723107378660176
2020-09-08,MCD,GPP,-0.016627450661797355
2020-09-08,MCD,R,0.0592059883149077
2020-09-08,MCD,NEP,0.07020213042539719
2020-09-08,MCD,GPP2,0.016627450661797355
2020-09-08,MCD,R2,-0.0592059883149077
2020-09-08,MCD,NEP2,-0.04257853765311034
2020-09-09,MCD,GPP,0.06503555528575114
2020-09-09,MCD,R,-0.03567116672370666
2020-09-09,MCD,NEP,0.013106118525662689
2020-09-09,MCD,GPP2,0.06503555528575114
2020-09-09,MCD,R2,-0.03567116672370666
2020-09-09,MCD,NEP2,0.02936438856204448
2020-09-10,MCD,GPP,0.1798801393953547
2020-09-10,MCD,R,-0.1405853003457856
2020-09-10,MCD,NEP,-0.025315895102684588
2020-09-10,MCD,GPP2,0.1798801393953547
2020-09-10,MCD,R2,-0.1405853003457856
2020-09-10,MCD,NEP2,0.0392948390495691
2020-09-11,MCD,GPP,0.0652481567491836
2020-09-11,MCD,R,-0.047917200528561146
2020-09-11,MCD,NEP,-0.005333649931276394
2020-09-11,MCD,GPP2,0.0652481567491836
2020-09-11,MCD,R2,-0.047917200528561146
2020-09-11,MCD,NEP2,0.01733095622062246
2020-09-12,MCD,GPP,0.19972660273082687
2020-09-12,MCD,R,-0.15613529016831182
2020-09-12,MCD,NEP,-0.030350005052049208
2020-09-12,MCD,GPP2,0.19972660273082687
2020-09-12,MCD,R2,-0.15613529016831182
2020-09-12,MCD,NEP2,0.043591312562515055
2020-09-13,MCD,GPP,0.1593953811526825
2020-09-13,MCD,R,-0.11868785080763421
2020-09-13,MCD,NEP,-0.015446779617008176
2020-09-13,MCD,GPP2,0.1593953811526825
2020-09-13,MCD,R2,-0.11868785080763421
2020-09-13,MCD,NEP2,0.0407075303450483
2020-09-14,MCD,GPP,0.08615995775630214
2020-09-14,MCD,R,-0.03978023764197678
2020-09-14,MCD,NEP,0.027787577180478522
2020-09-14,MCD,GPP2,0.08615995775630214
2020-09-14,MCD,R2,-0.03978023764197678
2020-09-14,MCD,NEP2,0.04637972011432536
2020-09-15,MCD,GPP,-0.03269838522754827
2020-09-15,MCD,R,0.07043535279219497
2020-09-15,MCD,NEP,0.07149459663761107
2020-09-15,MCD,GPP2,0.03269838522754827
2020-09-15,MCD,R2,-0.07043535279219497
2020-09-15,MCD,NEP2,-0.0377369675646467
2020-09-16,MCD,GPP,0.021109414844079168
2020-09-16,MCD,R,0.01237859983446468
2020-09-16,MCD,NEP,0.039608523793384004
2020-09-16,MCD,GPP2,0.021109414844079168
2020-09-16,MCD,R2,-0.01237859983446468
2020-09-16,MCD,NEP2,0.008730815009614487
2020-06-19,HOL,GPP,-0.15825928492232902
2020-06-19,HOL,R,0.18056699381945068
2020-06-19,HOL,NEP,0.08307360688474932
2020-06-19,HOL,GPP2,0.15825928492232902
2020-06-19,HOL,R2,-0.18056699381945068
2020-06-19,HOL,NEP2,-0.022307708897121664
2020-06-20,HOL,GPP,0.18710854378184322
2020-06-20,HOL,R,-0.03258836157711138
2020-06-20,HOL,NEP,0.14466199218028
2020-06-20,HOL,GPP2,0.18710854378184322
2020-06-20,HOL,R2,-0.03258836157711138
2020-06-20,HOL,NEP2,0.15452018220473185
2020-06-21,HOL,GPP,0.6071053172012326
2020-06-21,HOL,R,-0.4863462395607867
2020-06-21,HOL,NEP,-0.041645540690164684
2020-06-21,HOL,GPP2,0.6071053172012326
2020-06-21,HOL,R2,-0.4863462395607867
2020-06-21,HOL,NEP2,0.12075907764044591
2020-06-22,HOL,GPP,0.1546723395679108
2020-06-22,HOL,R,-0.019460386870003815
2020-06-22,HOL,NEP,0.12962533299817078
2020-06-22,HOL,GPP2,0.1546723395679108
2020-06-22,HOL,R2,-0.019460386870003815
2020-06-22,HOL,NEP2,0.13521195269790698
2020-06-24,HOL,GPP,0.628705014659555
2020-06-24,HOL,R,-0.26848098859230646
2020-06-24,HOL,NEP,0.2726235825262454
2020-06-24,HOL,GPP2,0.628705014659555
2020-06-24,HOL,R2,-0.26848098859230646
2020-06-24,HOL,NEP2,0.3602240260672485
2020-06-25,HOL,GPP,0.09619715161888545
2020-06-25,HOL,R,-0.11198184635660281
2020-06-25,HOL,NEP,-0.05348338928215549
2020-06-25,HOL,GPP2,0.09619715161888545
2020-06-25,HOL,R2,-0.11198184635660281
2020-06-25,HOL,NEP2,-0.01578469473771736
2020-06-26,HOL,GPP,-0.13287432530276377
2020-06-26,HOL,R,0.105731529226785
2020-06-26,HOL,NEP,0.00815769767793522
2020-06-26,HOL,GPP2,0.13287432530276377
2020-06-26,HOL,R2,-0.105731529226785
2020-06-26,HOL,NEP2,0.027142796075978776
2020-06-27,HOL,GPP,0.21045300741675652
2020-06-27,HOL,R,0.19215624761740427
2020-06-27,HOL,NEP,0.46992470357031163
2020-06-27,HOL,GPP2,0.21045300741675652
2020-06-27,HOL,R2,-0.19215624761740427
2020-06-27,HOL,NEP2,0.018296759799352247
2020-06-28,HOL,GPP,-0.2856808530450311
2020-06-28,HOL,R,0.5017528190690211
2020-06-28,HOL,NEP,0.3860034854738991
2020-06-28,HOL,GPP2,0.2856808530450311
2020-06-28,HOL,R2,-0.5017528190690211
2020-06-28,HOL,NEP2,-0.21607196602399004
2020-06-29,HOL,GPP,0.11762732798439891
2020-06-29,HOL,R,0.0045348349178378645
2020-06-29,HOL,NEP,0.12453862611173644
2020-06-29,HOL,GPP2,0.11762732798439891
2020-06-29,HOL,R2,-0.0045348349178378645
2020-06-29,HOL,NEP2,0.11309249306656105
2020-06-30,HOL,GPP,0.2820359591956698
2020-06-30,HOL,R,-0.07078389835830728
2020-06-30,HOL,NEP,0.18896971775791227
2020-06-30,HOL,GPP2,0.2820359591956698
2020-06-30,HOL,R2,-0.07078389835830728
2020-06-30,HOL,NEP2,0.21125206083736253
2020-07-01,HOL,GPP,0.20212789281784624
2020-07-01,HOL,R,0.017292304617571967
2020-07-01,HOL,NEP,0.22675901435205367
2020-07-01,HOL,GPP2,0.20212789281784624
2020-07-01,HOL,R2,-0.017292304617571967
2020-07-01,HOL,NEP2,0.18483558820027426
2020-07-02,HOL,GPP,0.03189311599305414
2020-07-02,HOL,R,0.020281121414324157
2020-07-02,HOL,NEP,0.05934674136048975
2020-07-02,HOL,GPP2,0.03189311599305414
2020-07-02,HOL,R2,-0.020281121414324157
2020-07-02,HOL,NEP2,0.011611994578729981
2020-07-03,HOL,GPP,0.8776135851250589
2020-07-03,HOL,R,-0.8919819605365591
2020-07-03,HOL,NEP,-0.3138753857693066
2020-07-03,HOL,GPP2,0.8776135851250589
2020-07-03,HOL,R2,-0.8919819605365591
2020-07-03,HOL,NEP2,-0.014368375411500156
2020-07-04,HOL,GPP,0.8247760782089459
2020-07-04,HOL,R,-0.2608095357285084
2020-07-04,HOL,NEP,0.4803659049105916
2020-07-04,HOL,GPP2,0.8247760782089459
2020-07-04,HOL,R2,-0.2608095357285084
2020-07-04,HOL,NEP2,0.5639665424804375
2020-07-05,HOL,GPP,0.34376822184195144
2020-07-05,HOL,R,-0.36762111832653865
2020-07-05,HOL,NEP,-0.15255855251823422
2020-07-05,HOL,GPP2,0.34376822184195144
