datetime,irr_0,irr_2,irr_3,irr_4,irr_6
2020-08-06T00:00:00Z,1216.3,7233.4,11022.3,3444.5,850.4
2020-08-06T00:30:00Z,1162.5,10677.8,19289,6544.5,667.4
2020-08-06T01:00:00Z,861.1,2927.8,9644.5,2497.2,452.1
2020-08-06T01:30:00Z,613.5,1550,4822.3,1550,322.9
2020-08-06T02:00:00Z,53.8,559.7,602.8,247.6,150.7
2020-08-06T02:30:00Z,32.3,366,376.7,161.5,86.1
2020-08-06T03:00:00Z,0,86.1,86.1,32.3,10.8
2020-08-06T03:30:00Z,0,0,0,0,0
2020-08-06T04:00:00Z,0,0,0,0,0
2020-08-06T04:30:00Z,0,0,0,0,0
2020-08-06T05:00:00Z,0,0,0,0,0
2020-08-06T05:30:00Z,0,0,0,0,0
2020-08-06T06:00:00Z,0,0,0,0,0
2020-08-06T06:30:00Z,0,0,0,0,0
2020-08-06T07:00:00Z,0,0,0,0,0
2020-08-06T07:30:00Z,0,0,0,0,0
2020-08-06T08:00:00Z,0,0,0,0,0
2020-08-06T08:30:00Z,0,0,0,0,0
2020-08-06T09:00:00Z,0,0,0,0,0
2020-08-06T09:30:00Z,0,0,0,0,0
2020-08-06T10:00:00Z,0,0,0,0,0
2020-08-06T10:30:00Z,0,0,0,0,0
2020-08-06T11:00:00Z,0,0,0,0,0
2020-08-06T11:30:00Z,0,0,0,0,0
2020-08-06T12:00:00Z,0,0,0,0,0
2020-08-06T12:30:00Z,21.5,161.5,118.4,43.1,53.8
2020-08-06T13:00:00Z,96.9,688.9,538.2,215.3,258.3
2020-08-06T13:30:00Z,53.8,419.8,290.6,139.9,172.2
2020-08-06T14:00:00Z,10.8,107.6,129.2,32.3,43.1
2020-08-06T14:30:00Z,183,1044.1,1054.9,409,409
2020-08-06T15:00:00Z,161.5,1324,1291.7,527.4,376.7
2020-08-06T15:30:00Z,398.3,2152.8,1722.2,828.8,1119.5
2020-08-06T16:00:00Z,161.5,1259.4,1463.9,516.7,344.4
2020-08-06T16:30:00Z,559.7,2669.5,2497.2,1022.6,1227.1
2020-08-06T17:00:00Z,688.9,2927.8,2583.4,1119.5,1550
2020-08-06T17:30:00Z,2238.9,3961.1,3100,1033.3,2497.2
