datetime,wtr_0,wtr_2,wtr_4,wtr_8,wtr_1
2020-07-08T22:30:00Z,11.916,11.625,6.978,4.207,11.372
2020-07-08T23:00:00Z,12.304,11.722,7.28,4.415,11.381
2020-07-08T23:30:00Z,12.401,11.722,7.079,4.311,11.443
2020-07-09T00:00:00Z,11.819,11.139,6.674,4.311,11.488
2020-07-09T00:30:00Z,11.916,10.455,6.877,4.623,11.497
2020-07-09T01:00:00Z,12.304,10.553,6.674,4.519,11.47
2020-07-09T01:30:00Z,12.11,11.722,6.877,4.623,11.443
2020-07-09T02:00:00Z,11.819,11.625,6.674,4.519,11.479
2020-07-09T02:30:00Z,11.722,10.161,6.877,4.311,11.488
2020-07-09T03:00:00Z,11.625,11.625,6.978,4.311,11.452
2020-07-09T03:30:00Z,11.528,9.768,6.674,4.311,11.372
2020-07-09T04:00:00Z,11.431,9.373,6.674,4.415,11.39
2020-07-09T04:30:00Z,11.431,9.669,6.674,4.519,11.345
2020-07-09T05:00:00Z,11.431,9.866,6.674,4.311,11.291
2020-07-09T05:30:00Z,11.334,10.357,6.775,4.311,11.228
2020-07-09T06:00:00Z,11.236,9.866,6.978,4.311,11.138
2020-07-09T06:30:00Z,11.236,9.571,7.079,4.415,10.976
2020-07-09T07:00:00Z,11.139,9.768,6.978,4.415,11.048
2020-07-09T07:30:00Z,11.139,9.768,6.775,4.415,11.03
2020-07-09T08:00:00Z,11.139,9.669,6.775,4.311,11.003
2020-07-09T08:30:00Z,11.041,9.571,6.775,4.311,10.913
2020-07-09T09:00:00Z,11.041,9.669,6.877,4.311,10.877
2020-07-09T09:30:00Z,10.944,9.571,6.674,4.519,10.832
2020-07-09T10:00:00Z,10.944,9.866,6.978,4.519,10.759
2020-07-09T10:30:00Z,10.748,9.866,6.471,4.415,10.714
2020-07-09T11:00:00Z,10.748,9.472,6.573,4.415,10.642
2020-07-09T11:30:00Z,10.553,9.768,6.471,4.415,10.605
2020-07-09T12:00:00Z,10.651,9.472,6.573,4.415,10.505
2020-07-09T12:30:00Z,10.553,9.669,6.573,4.415,10.469
2020-07-09T13:00:00Z,10.553,9.768,6.471,4.415,10.433
2020-07-09T13:30:00Z,10.553,9.866,6.674,4.415,10.433
2020-07-09T14:00:00Z,11.916,9.768,6.674,4.415,10.396
2020-07-09T14:30:00Z,12.497,9.768,6.471,4.415,10.415
2020-07-09T15:00:00Z,12.98,9.965,6.775,4.519,10.415
2020-07-09T15:30:00Z,11.431,9.965,6.978,4.415,10.278
2020-07-09T16:00:00Z,11.139,10.357,7.179,4.519,10.424
2020-07-09T16:30:00Z,11.236,10.651,7.381,4.519,10.515
2020-07-09T17:00:00Z,11.236,10.944,7.179,4.519,10.533
2020-07-09T17:30:00Z,11.236,11.334,7.179,4.623,10.786
2020-07-09T18:00:00Z,11.334,11.431,7.179,4.519,10.922
2020-07-09T18:30:00Z,11.528,11.916,7.179,4.519,11.12
2020-07-09T19:00:00Z,11.819,11.916,6.978,4.623,11.228
2020-07-09T19:30:00Z,12.013,12.013,6.877,4.623,11.381
2020-07-09T20:00:00Z,12.69,12.013,7.179,4.623,11.524
2020-07-09T20:30:00Z,12.401,12.207,7.481,4.519,11.605
2020-07-09T21:00:00Z,13.173,12.11,6.877,4.519,11.739
2020-07-09T21:30:00Z,13.269,12.207,6.978,4.519,11.899
2020-07-09T22:00:00Z,13.461,12.11,7.179,4.519,12.006
