datetime,wtr_0,wtr_2,wtr_4,wtr_8,wtr_1
2020-07-21T20:30:00Z,17.95,16.141,9.965,5.244,17.536
2020-07-21T21:00:00Z,18.14,15.951,9.571,5.244,17.527
2020-07-21T21:30:00Z,18.616,15.855,9.768,4.934,17.587
2020-07-21T22:00:00Z,18.711,16.046,9.176,5.244,17.755
2020-07-21T22:30:00Z,22.525,16.523,9.176,5.347,17.848
2020-07-21T23:00:00Z,20.519,15.569,9.373,5.037,17.983
2020-07-21T23:30:00Z,21.664,15.569,9.472,4.934,18.017
2020-07-22T00:00:00Z,22.333,15.664,9.176,5.141,17.95
2020-07-22T00:30:00Z,20.615,15.664,9.176,5.037,18.135
2020-07-22T01:00:00Z,18.616,15.76,9.373,5.141,18.093
2020-07-22T01:30:00Z,19.948,15.473,9.571,5.037,17.857
2020-07-22T02:00:00Z,18.521,15.569,9.275,5.141,17.755
2020-07-22T02:30:00Z,18.426,15.473,8.779,5.141,17.333
2020-07-22T03:00:00Z,18.236,15.76,9.077,5.037,17.274
2020-07-22T03:30:00Z,18.236,15.855,9.373,5.244,17.637
2020-07-22T04:00:00Z,18.236,15.855,8.879,5.141,17.502
2020-07-22T04:30:00Z,18.14,15.664,8.978,5.141,17.214
2020-07-22T05:00:00Z,17.95,15.951,8.879,5.141,17.265
2020-07-22T05:30:00Z,17.76,15.951,8.978,5.141,17.13
2020-07-22T06:00:00Z,17.855,15.76,9.176,5.141,17.028
2020-07-22T06:30:00Z,17.665,15.855,9.077,5.037,17.138
2020-07-22T07:00:00Z,17.57,15.855,9.275,5.037,17.062
2020-07-22T07:30:00Z,17.475,15.76,9.472,5.037,16.96
2020-07-22T08:00:00Z,17.379,15.569,9.176,4.934,17.291
2020-07-22T08:30:00Z,17.379,15.473,9.275,4.934,17.223
2020-07-22T09:00:00Z,17.189,15.76,9.571,4.934,17.197
2020-07-22T09:30:00Z,17.189,15.76,9.373,5.141,17.045
2020-07-22T10:00:00Z,17.094,15.664,9.373,5.037,17.028
2020-07-22T10:30:00Z,16.903,15.76,9.373,5.141,17.011
2020-07-22T11:00:00Z,16.903,15.855,9.275,5.141,16.952
2020-07-22T11:30:00Z,16.903,16.046,8.978,5.141,16.901
2020-07-22T12:00:00Z,16.903,15.664,9.176,5.141,16.833
2020-07-22T12:30:00Z,16.903,15.569,9.176,5.141,16.782
2020-07-22T13:00:00Z,16.713,15.664,9.472,5.037,16.705
2020-07-22T13:30:00Z,16.713,16.046,9.077,5.037,16.646
2020-07-22T14:00:00Z,16.808,15.76,9.077,5.037,16.629
2020-07-22T14:30:00Z,17.475,15.76,9.077,5.141,16.654
2020-07-22T15:00:00Z,17.284,15.76,9.077,5.141,16.671
2020-07-22T15:30:00Z,20.138,16.141,9.176,5.141,16.68
2020-07-22T16:00:00Z,19.282,16.237,9.373,5.141,16.62
2020-07-22T16:30:00Z,19.282,16.046,9.472,5.347,16.603
2020-07-22T17:00:00Z,20.043,16.332,9.275,5.45,16.68
2020-07-22T17:30:00Z,20.519,16.903,9.472,5.347,16.773
2020-07-22T18:00:00Z,19.377,16.618,9.373,5.244,16.799
2020-07-22T18:30:00Z,19.758,16.903,9.669,5.244,17.011
2020-07-22T19:00:00Z,18.996,16.332,9.275,5.347,17.265
2020-07-22T19:30:00Z,18.711,16.141,9.571,5.244,17.468
2020-07-22T20:00:00Z,18.711,16.332,9.571,5.244,18.152
2020-07-22T20:30:00Z,19.472,16.046,9.768,5.244,18.303
2020-07-22T21:00:00Z,19.187,16.332,9.176,5.141,18.261
2020-07-22T21:30:00Z,18.996,15.855,9.077,5.141,17.992
2020-07-22T22:00:00Z,19.187,15.855,9.373,5.037,17.966
2020-07-22T22:30:00Z,19.282,15.855,9.669,5.141,17.89
2020-07-22T23:00:00Z,19.187,15.855,9.669,5.141,17.164
2020-07-22T23:30:00Z,18.996,16.046,9.571,5.037,17.206
2020-07-23T00:00:00Z,18.711,15.664,9.571,5.037,17.502
2020-07-23T00:30:00Z,18.616,15.76,9.472,5.037,17.494
2020-07-23T01:00:00Z,18.616,16.046,9.373,5.141,17.51
2020-07-23T01:30:00Z,18.616,15.76,8.68,5.141,17.13
2020-07-23T02:00:00Z,18.426,16.046,8.68,5.244,17.019
2020-07-23T02:30:00Z,18.331,15.76,9.077,5.141,16.833
2020-07-23T03:00:00Z,18.236,16.046,9.077,5.244,17.011
2020-07-23T03:30:00Z,18.14,16.332,9.077,5.141,16.901
2020-07-23T04:00:00Z,17.95,16.332,9.077,5.141,16.994
2020-07-23T04:30:00Z,17.855,16.141,9.472,5.141,16.969
2020-07-23T05:00:00Z,17.76,16.332,9.176,5.244,17.096
2020-07-23T05:30:00Z,17.57,16.332,9.176,5.244,17.079
2020-07-23T06:00:00Z,17.475,16.427,9.275,5.244,17.197
2020-07-23T06:30:00Z,17.475,16.046,9.275,5.141,17.189
2020-07-23T07:00:00Z,17.475,16.141,9.275,5.037,16.977
2020-07-23T07:30:00Z,17.57,15.76,9.373,5.037,17.104
2020-07-23T08:00:00Z,17.475,16.046,9.472,5.037,17.164
2020-07-23T08:30:00Z,17.379,15.569,9.866,5.037,17.189
2020-07-23T09:00:00Z,17.379,15.76,9.768,4.934,17.197
2020-07-23T09:30:00Z,17.379,15.76,9.176,4.934,17.18
2020-07-23T10:00:00Z,17.379,16.237,9.669,4.831,17.206
2020-07-23T10:30:00Z,17.284,16.427,9.571,5.141,17.121
2020-07-23T11:00:00Z,17.094,15.951,8.68,5.141,17.079
2020-07-23T11:30:00Z,17.189,15.187,8.581,5.244,17.053
2020-07-23T12:00:00Z,17.094,16.141,9.176,5.141,16.994
2020-07-23T12:30:00Z,16.999,15.951,9.472,5.244,16.952
2020-07-23T13:00:00Z,17.094,15.569,9.176,5.244,16.918
2020-07-23T13:30:00Z,16.999,15.76,9.077,5.141,16.926
2020-07-23T14:00:00Z,17.094,15.855,9.669,5.244,16.867
2020-07-23T14:30:00Z,17.189,16.141,9.669,5.347,16.909
2020-07-23T15:00:00Z,17.475,16.141,9.176,5.347,16.918
2020-07-23T15:30:00Z,18.14,16.046,9.077,5.141,16.943
2020-07-23T16:00:00Z,18.521,16.332,9.176,5.141,17.011
2020-07-23T16:30:00Z,18.331,16.427,8.879,5.45,17.053
2020-07-23T17:00:00Z,18.331,16.523,8.879,5.347,17.036
2020-07-23T17:30:00Z,18.14,16.141,9.373,5.347,17.147
2020-07-23T18:00:00Z,17.76,17.094,9.965,5.141,17.333
2020-07-23T18:30:00Z,18.045,16.523,9.669,5.141,17.409
2020-07-23T19:00:00Z,18.331,15.76,9.571,5.244,17.527
2020-07-23T19:30:00Z,18.426,16.618,9.965,5.244,17.587
2020-07-23T20:00:00Z,18.331,16.237,9.669,5.244,17.663
2020-07-23T20:30:00Z,18.236,15.855,9.373,5.141,17.755
2020-07-23T21:00:00Z,18.14,15.855,9.768,5.037,17.73
2020-07-23T21:30:00Z,18.045,16.141,9.866,5.244,17.696
2020-07-23T22:00:00Z,17.95,16.713,10.161,5.141,17.62
2020-07-23T22:30:00Z,18.236,16.903,8.978,5.037,17.671
2020-07-23T23:00:00Z,18.331,15.951,9.275,5.244,17.679
2020-07-23T23:30:00Z,18.521,15.855,10.161,5.141,17.705
2020-07-24T00:00:00Z,18.711,16.618,9.472,5.347,17.713
2020-07-24T00:30:00Z,18.426,16.046,9.275,5.244,17.578
