"","datetime","wnd_10"
"56",2020-06-09 00:00:00,1.57040063189958
"56.1",2020-06-09 00:30:00,1.57040063189958
"56.2",2020-06-09 01:00:00,1.57040063189958
"56.3",2020-06-09 01:30:00,1.57040063189958
"56.4",2020-06-09 02:00:00,1.57040063189958
"56.5",2020-06-09 02:30:00,1.57040063189958
"59",2020-06-09 03:00:00,2.67427072604967
"59.1",2020-06-09 03:30:00,2.67427072604967
"59.2",2020-06-09 04:00:00,2.67427072604967
"59.3",2020-06-09 04:30:00,2.67427072604967
"59.4",2020-06-09 05:00:00,2.67427072604967
"59.5",2020-06-09 05:30:00,2.67427072604967
"62",2020-06-09 06:00:00,2.10144322084107
"62.1",2020-06-09 06:30:00,2.10144322084107
"62.2",2020-06-09 07:00:00,2.10144322084107
"62.3",2020-06-09 07:30:00,2.10144322084107
"62.4",2020-06-09 08:00:00,2.10144322084107
"62.5",2020-06-09 08:30:00,2.10144322084107
"65",2020-06-09 09:00:00,2.33317077154306
"65.1",2020-06-09 09:30:00,2.33317077154306
"65.2",2020-06-09 10:00:00,2.33317077154306
"65.3",2020-06-09 10:30:00,2.33317077154306
"65.4",2020-06-09 11:00:00,2.33317077154306
"65.5",2020-06-09 11:30:00,2.33317077154306
"68",2020-06-09 12:00:00,3.58535927193273
"68.1",2020-06-09 12:30:00,3.58535927193273
"68.2",2020-06-09 13:00:00,3.58535927193273
"68.3",2020-06-09 13:30:00,3.58535927193273
"68.4",2020-06-09 14:00:00,3.58535927193273
"68.5",2020-06-09 14:30:00,3.58535927193273
"71",2020-06-09 15:00:00,2.51008375712211
"71.1",2020-06-09 15:30:00,2.51008375712211
"71.2",2020-06-09 16:00:00,2.51008375712211
"71.3",2020-06-09 16:30:00,2.51008375712211
"71.4",2020-06-09 17:00:00,2.51008375712211
"71.5",2020-06-09 17:30:00,2.51008375712211
"74",2020-06-09 18:00:00,2.0363387800534
"74.1",2020-06-09 18:30:00,2.0363387800534
"74.2",2020-06-09 19:00:00,2.0363387800534
"74.3",2020-06-09 19:30:00,2.0363387800534
"74.4",2020-06-09 20:00:00,2.0363387800534
"74.5",2020-06-09 20:30:00,2.0363387800534
"77",2020-06-09 21:00:00,0.901950472694299
"77.1",2020-06-09 21:30:00,0.901950472694299
"77.2",2020-06-09 22:00:00,0.901950472694299
"77.3",2020-06-09 22:30:00,0.901950472694299
"77.4",2020-06-09 23:00:00,0.901950472694299
"77.5",2020-06-09 23:30:00,0.901950472694299
"80",2020-06-10 00:00:00,1.31183245419395
"80.1",2020-06-10 00:30:00,1.31183245419395
"80.2",2020-06-10 01:00:00,1.31183245419395
"80.3",2020-06-10 01:30:00,1.31183245419395
"80.4",2020-06-10 02:00:00,1.31183245419395
"80.5",2020-06-10 02:30:00,1.31183245419395
"83",2020-06-10 03:00:00,2.07453509773547
"83.1",2020-06-10 03:30:00,2.07453509773547
"83.2",2020-06-10 04:00:00,2.07453509773547
"83.3",2020-06-10 04:30:00,2.07453509773547
