datetime,lake,depth_m,temp_C
2020-07-28T02:00:00Z,MCD,12,8.382
2020-07-28T02:00:00Z,MCD,2,18.331
2020-07-28T02:00:00Z,MCD,4,15.282
2020-07-28T02:00:00Z,MCD,6,13.558
2020-07-28T02:00:00Z,MCD,8,12.69
2020-07-28T02:00:00Z,MCD,1,18.348
2020-07-28T02:30:00Z,MCD,10,10.357
2020-07-28T02:30:00Z,MCD,12,8.481
2020-07-28T02:30:00Z,MCD,2,18.331
2020-07-28T02:30:00Z,MCD,4,15.187
2020-07-28T02:30:00Z,MCD,6,13.654
2020-07-28T02:30:00Z,MCD,8,12.69
2020-07-28T02:30:00Z,MCD,1,18.281
2020-07-28T03:00:00Z,MCD,10,10.651
2020-07-28T03:00:00Z,MCD,12,8.68
2020-07-28T03:00:00Z,MCD,2,18.426
2020-07-28T03:00:00Z,MCD,4,15.091
2020-07-28T03:00:00Z,MCD,6,13.75
2020-07-28T03:00:00Z,MCD,8,12.69
2020-07-28T03:00:00Z,MCD,1,18.239
2020-07-28T03:30:00Z,MCD,10,11.236
2020-07-28T03:30:00Z,MCD,12,8.68
2020-07-28T03:30:00Z,MCD,2,18.331
2020-07-28T03:30:00Z,MCD,4,14.996
2020-07-28T03:30:00Z,MCD,6,13.846
2020-07-28T03:30:00Z,MCD,8,12.787
2020-07-28T03:30:00Z,MCD,1,18.231
2020-07-28T04:00:00Z,MCD,10,11.236
2020-07-28T04:00:00Z,MCD,12,8.879
2020-07-28T04:00:00Z,MCD,2,18.426
2020-07-28T04:00:00Z,MCD,4,14.996
2020-07-28T04:00:00Z,MCD,6,13.846
2020-07-28T04:00:00Z,MCD,8,12.69
2020-07-28T04:00:00Z,MCD,1,18.197
2020-07-28T04:30:00Z,MCD,10,10.651
2020-07-28T04:30:00Z,MCD,12,8.978
2020-07-28T04:30:00Z,MCD,2,18.426
2020-07-28T04:30:00Z,MCD,4,14.804
2020-07-28T04:30:00Z,MCD,6,13.846
2020-07-28T04:30:00Z,MCD,8,12.594
2020-07-28T04:30:00Z,MCD,1,18.189
2020-07-28T05:00:00Z,MCD,10,11.139
2020-07-28T05:00:00Z,MCD,12,8.978
2020-07-28T05:00:00Z,MCD,2,18.331
2020-07-28T05:00:00Z,MCD,4,14.804
