time,latitude,longitude,vgrd10m,ugrd10m
2020-06-10T15:00:00Z,47,246,1.499956,0.4489087
2020-06-10T15:00:00Z,47.5,246,1.0599561,0.35890868
2020-06-10T15:00:00Z,48,246,1.959956,1.3289087
2020-06-10T18:00:00Z,47,246,0.87167114,2.7093287
2020-06-10T18:00:00Z,47.5,246,0.5916711,1.7793286
2020-06-10T18:00:00Z,48,246,0.7716711,0.8693286
2020-06-10T21:00:00Z,47,246,-0.3514746,3.2535303
2020-06-10T21:00:00Z,47.5,246,0.83852535,3.1235301
2020-06-10T21:00:00Z,48,246,1.4885254,1.9835303
2020-06-11T00:00:00Z,47,246,-1.3781226,2.230703
2020-06-11T00:00:00Z,47.5,246,0.23187743,1.790703
2020-06-11T00:00:00Z,48,246,1.8618774,1.4007031
2020-06-11T03:00:00Z,47,246,-1.8590552,-0.086220704
2020-06-11T03:00:00Z,47.5,246,0.23094481,-0.9562207
2020-06-11T03:00:00Z,48,246,1.8509448,-0.4662207
2020-06-11T06:00:00Z,47,246,-0.22493285,-1.3538085
2020-06-11T06:00:00Z,47.5,246,0.97506714,-2.2538085
2020-06-11T06:00:00Z,48,246,1.2050672,-1.9538085
2020-06-11T09:00:00Z,47,246,0.9177441,-1.1136279
2020-06-11T09:00:00Z,47.5,246,1.1677442,-1.2836279
2020-06-11T09:00:00Z,48,246,1.5377442,-0.5036279
2020-06-11T12:00:00Z,47,246,0.7645874,-1.3389672
2020-06-11T12:00:00Z,47.5,246,0.8445874,-1.5789672
2020-06-11T12:00:00Z,48,246,0.5045874,-1.8689673
2020-06-11T15:00:00Z,47,246,2.1819384,-0.48091552
2020-06-11T15:00:00Z,47.5,246,0.44193846,0.81908447
2020-06-11T15:00:00Z,48,246,-0.5380615,0.75908446
2020-06-11T18:00:00Z,47,246,1.6829858,-0.44249266
2020-06-11T18:00:00Z,47.5,246,0.24298583,2.2975073
2020-06-11T18:00:00Z,48,246,0.19298583,1.7375073
2020-06-11T21:00:00Z,47,246,3.547451,-0.34865966
2020-06-11T21:00:00Z,47.5,246,-0.5025488,0.67134035
2020-06-11T21:00:00Z,48,246,-0.15254882,1.7113403
2020-06-12T00:00:00Z,47,246,-0.38154295,-2.0043945
2020-06-12T00:00:00Z,47.5,246,0.558457,-1.1743945
2020-06-12T00:00:00Z,48,246,-0.93154293,-0.6543945
2020-06-12T03:00:00Z,47,246,0.060126953,-2.5739074
2020-06-12T03:00:00Z,47.5,246,0.37012693,-1.3839074
2020-06-12T03:00:00Z,48,246,-0.599873,-0.16390747
2020-06-12T06:00:00Z,47,246,0.39016846,-2.5082202
