name,index,unique_day,middle,lower,upper,yday,year,lake
ER,5,5,-12.758339937097638,-0.9850592032017638,-31.28886827200128,193,2022,LOR
ER,6,6,-12.538301843268208,-0.9721285761451915,-30.81885463128262,194,2022,LOR
ER,7,7,-12.533055911968688,-1.0871085415524393,-30.20167142319687,195,2022,LOR
ER,8,8,-12.346834021380998,-1.0433107439923823,-29.510787141892095,196,2022,LOR
ER,9,9,-11.964335495865264,-1.1055283131335614,-29.135285600074734,197,2022,LOR
ER,10,10,-11.675772216574735,-1.0170839391122202,-28.902242977062546,198,2022,LOR
ER,11,11,-11.376836355016971,-0.9957644912917022,-28.171960421607402,199,2022,LOR
ER,12,12,-11.16053547362311,-0.8773567909825553,-28.12224710087603,200,2022,LOR
ER,13,13,-11.07671528228722,-0.7104309678708718,-27.71822124352277,201,2022,LOR
ER,14,14,-11.09876275547856,-0.8922802355408727,-27.85196461254677,202,2022,LOR
ER,15,15,-11.10113088421227,-0.9111461108874636,-27.64167232249431,203,2022,LOR
ER,16,16,-10.863461692219488,-0.9155635922556616,-27.249561128975916,204,2022,LOR
ER,17,17,-10.657014358933734,-0.9118400920392356,-26.94458568774469,205,2022,LOR
ER,18,18,-10.60046692849236,-0.8262623536133356,-26.52697801558245,206,2022,LOR
ER,19,19,-10.415720916710502,-0.7847285681624384,-26.585721206004074,207,2022,LOR
ER,20,20,-10.533517669654769,-0.7743093859650205,-26.411041837632457,208,2022,LOR
ER,21,21,-10.728918382626038,-1.0349731935972128,-26.397413687153,209,2022,LOR
ER,22,22,-10.397801893538452,-0.8965017236357897,-25.837055361644776,210,2022,LOR
ER,23,23,-9.933809774054067,-0.7282533508917198,-25.005057400616217,211,2022,LOR
ER,24,24,-9.933529384438046,-0.8144235760384229,-25.044572974800715,212,2022,LOR
ER,25,25,-9.52302561030798,-0.7556042264873158,-24.772850302752943,213,2022,LOR
ER,26,26,-9.342645214968451,-0.7101244351442048,-24.00255261179351,214,2022,LOR
ER,27,27,-9.143533406466688,-0.6060352488436388,-24.034467085354287,215,2022,LOR
ER,28,28,-9.100058130799788,-0.6188934883313084,-23.93159618187764,216,2022,LOR
ER,29,29,-8.932776511605127,-0.624135370021861,-23.38373525114601,217,2022,LOR
ER,30,30,-8.960497274515886,-0.6523126125095501,-23.474108731356985,218,2022,LOR
ER,31,31,-8.792888232901397,-0.6371474690981968,-23.40144702512868,219,2022,LOR
ER,32,32,-8.790454084783047,-0.6766362229559882,-23.114675306815737,220,2022,LOR
ER,33,33,-8.414065423367145,-0.6066799278118475,-22.720426095050396,221,2022,LOR
ER,34,34,-8.284162433491007,-0.4848512607846888,-22.692452631327175,222,2022,LOR
ER,35,35,-8.528966845468272,-0.5868161906967854,-22.67181167144753,223,2022,LOR
ER,36,36,-8.686103952738591,-0.5656465732559961,-23.1471502142626,224,2022,LOR
ER,37,37,-8.730605549090363,-0.6432417691593317,-23.202518183582445,225,2022,LOR
ER,38,38,-8.885462197534096,-0.6566877002259838,-23.04218978677556,226,2022,LOR
ER,39,39,-8.582412396779862,-0.6215723321790266,-22.801765404932265,227,2022,LOR
ER,40,40,-8.882193110591858,-0.5950661295526573,-23.117036553578075,228,2022,LOR
ER,41,41,-8.784348976458624,-0.6717186899397523,-22.8456310599715,229,2022,LOR
ER,42,42,-8.34279733019758,-0.5293254011748854,-22.400175051154463,230,2022,LOR
ER,43,43,-8.945044838368347,-0.6892936285654327,-22.80439733228764,231,2022,LOR
ER,44,44,-8.76632018144558,-0.761972722033681,-22.642042952122836,232,2022,LOR
