"","GPP","R","NEP","datetime"
"1",-0.363151660528563,0.389840631718496,0.15996852605559,2020-07-25
"2",-0.234350070349452,0.245201199820361,0.0945547534410523,2020-07-26
"3",0.084141994463417,-0.0562311206108432,0.00696939944528442,2020-07-27
"4",0.153346491404067,-0.162077422063241,-0.0709888993357172,2020-07-28
"5",-0.0867737766185245,0.0864485672641902,0.0327758332286676,2020-07-29
"6",-0.10139365331386,0.222326598055272,0.208652342820908,2020-07-30
"7",0.452899539251409,-0.326331196777083,0.00428338078255568,2020-07-31
"8",0.274226864514005,-0.115042732275621,0.118512109925133,2020-08-01
"9",0.868463350673497,-0.746452232697966,-0.16126822395187,2020-08-02
"10",0.73625153195174,-0.300724461125158,0.329622534030279,2020-08-03
"11",-0.60741259478973,0.539122779581776,0.13672976388277,2020-08-04
"12",0.293662125674929,-0.149013752402928,0.0906569015702841,2020-08-05
"13",-0.239184724935338,0.243763205165759,0.0980320158307208,2020-08-06
"14",0.11509969923263,0.0109410555765214,0.132912664493971,2020-08-07
"15",-0.0154692395964075,0.170057288471571,0.22300547954247,2020-08-08
"16",-0.0951794477134214,0.150781813327094,0.114531621049872,2020-08-09
"17",-8.87675618327366e-06,0.104375612411148,0.146560943294447,2020-08-10
"18",0.449842687100077,-0.294027727080088,0.0465238083727204,2020-08-11
"19",-0.0654088753604804,0.128396909522743,0.113501489599957,2020-08-12
"20",0.159921459549732,-0.0174473120184594,0.138823563088698,2020-08-13
"21",-0.133137490672878,0.215834301518195,0.167116262721334,2020-08-14
"22",0.122185915730799,-0.0323624132155227,0.0793405251671033,2020-08-15
"23",-0.0734464842408249,0.159832503773211,0.14943646820154,2020-08-16
"24",-0.533399287652907,0.380783936252791,0.00617323101809113,2020-08-17
"25",-0.0908654861276176,0.154326670017826,0.13048234525716,2020-08-18
"26",0.157471417348098,0.0464033650472105,0.227958656508915,2020-08-19
"27",0.405618075588243,-0.253800610695561,0.0470473638497348,2020-08-20
"28",0.0549481044494954,-0.0197704948883533,0.0275130927908032,2020-08-21
"29",0.188020136704313,-0.119605454400161,0.0189743757999159,2020-08-22
"30",-0.142121164204191,0.241433609325089,0.204163181963934,2020-08-23
"31",0.117410508258658,-0.0564031725146359,0.0383040141578794,2020-08-24
"32",-0.147548245292915,0.175581960473029,0.103345905066086,2020-08-25
"33",-0.103753665492828,0.149345036796759,0.110112479968593,2020-08-26
"34",-0.335495106311556,0.347868031114536,0.160665127932634,2020-08-27
"35",0.168923997841743,-0.096514880439303,0.0328795750325761,2020-08-28
"36",-0.0121863266815436,0.0279383284987185,0.027975801216995,2020-08-29
"37",-0.117763535785607,0.135591317716598,0.0759055295110532,2020-08-30
"38",-0.117831600745673,0.126582304658158,0.0628016995949461,2020-08-31
"39",0.0692864152580067,0.00643748113978153,0.0800743968061589,2020-09-01
"40",0.015865872534074,0.0960329098361086,0.15514467554236,2020-09-02
"41",0.156453609480646,-0.113493753706055,-0.00442131908384539,2020-09-03
"42",0.00356947077071011,0.0881793736643811,0.131224085237702,2020-09-04
"43",0.0109691310305704,0.0375759908603104,0.0671667585040235,2020-09-05
"44",-0.0456634838569479,0.0884055862866311,0.0850328471261846,2020-09-06
"45",0.135170346070058,-0.10788099257976,-0.0226275078557538,2020-09-07
"46",0.144154921261459,-0.0519326339731997,0.0698755711154474,2020-09-08
"47",0.0112699962527114,0.0522105024848514,0.0892701062568031,2020-09-09
"48",0.152377900557028,-0.0683336476790148,0.0538464657277934,2020-09-10
"49",-0.104204678682091,0.196309949678842,0.185954721293161,2020-09-11
"50",0.202050057448637,-0.10689261185893,0.0471472324980739,2020-09-12
"51",-0.0158551048501316,0.0511037485154158,0.0599195183675062,2020-09-13
"52",0.260636559656367,-0.129419678282549,0.0734293060367479,2020-09-14
"53",0.156828498864202,-0.0987777118942139,0.0130495343167392,2020-09-15
"54",-0.167729111490458,0.222537035729428,0.160140322330169,2020-09-16
