"","datetime","wnd_10"
"56",2020-06-09 00:00:00,1.89946466030999
"56.1",2020-06-09 00:30:00,1.89946466030999
"56.2",2020-06-09 01:00:00,1.89946466030999
"56.3",2020-06-09 01:30:00,1.89946466030999
"56.4",2020-06-09 02:00:00,1.89946466030999
"56.5",2020-06-09 02:30:00,1.89946466030999
"59",2020-06-09 03:00:00,2.19480378552534
"59.1",2020-06-09 03:30:00,2.19480378552534
"59.2",2020-06-09 04:00:00,2.19480378552534
"59.3",2020-06-09 04:30:00,2.19480378552534
"59.4",2020-06-09 05:00:00,2.19480378552534
"59.5",2020-06-09 05:30:00,2.19480378552534
"62",2020-06-09 06:00:00,1.73217324109737
"62.1",2020-06-09 06:30:00,1.73217324109737
"62.2",2020-06-09 07:00:00,1.73217324109737
"62.3",2020-06-09 07:30:00,1.73217324109737
"62.4",2020-06-09 08:00:00,1.73217324109737
"62.5",2020-06-09 08:30:00,1.73217324109737
"65",2020-06-09 09:00:00,2.30334997686376
"65.1",2020-06-09 09:30:00,2.30334997686376
"65.2",2020-06-09 10:00:00,2.30334997686376
"65.3",2020-06-09 10:30:00,2.30334997686376
"65.4",2020-06-09 11:00:00,2.30334997686376
"65.5",2020-06-09 11:30:00,2.30334997686376
"68",2020-06-09 12:00:00,3.67827205869336
"68.1",2020-06-09 12:30:00,3.67827205869336
"68.2",2020-06-09 13:00:00,3.67827205869336
"68.3",2020-06-09 13:30:00,3.67827205869336
"68.4",2020-06-09 14:00:00,3.67827205869336
"68.5",2020-06-09 14:30:00,3.67827205869336
"71",2020-06-09 15:00:00,3.83226642611763
"71.1",2020-06-09 15:30:00,3.83226642611763
"71.2",2020-06-09 16:00:00,3.83226642611763
"71.3",2020-06-09 16:30:00,3.83226642611763
"71.4",2020-06-09 17:00:00,3.83226642611763
"71.5",2020-06-09 17:30:00,3.83226642611763
"74",2020-06-09 18:00:00,3.25390148898267
"74.1",2020-06-09 18:30:00,3.25390148898267
"74.2",2020-06-09 19:00:00,3.25390148898267
"74.3",2020-06-09 19:30:00,3.25390148898267
"74.4",2020-06-09 20:00:00,3.25390148898267
"74.5",2020-06-09 20:30:00,3.25390148898267
"77",2020-06-09 21:00:00,2.34353231117045
"77.1",2020-06-09 21:30:00,2.34353231117045
"77.2",2020-06-09 22:00:00,2.34353231117045
"77.3",2020-06-09 22:30:00,2.34353231117045
"77.4",2020-06-09 23:00:00,2.34353231117045
"77.5",2020-06-09 23:30:00,2.34353231117045
"80",2020-06-10 00:00:00,1.85833893307047
"80.1",2020-06-10 00:30:00,1.85833893307047
"80.2",2020-06-10 01:00:00,1.85833893307047
"80.3",2020-06-10 01:30:00,1.85833893307047
"80.4",2020-06-10 02:00:00,1.85833893307047
"80.5",2020-06-10 02:30:00,1.85833893307047
"83",2020-06-10 03:00:00,1.86777916694706
"83.1",2020-06-10 03:30:00,1.86777916694706
"83.2",2020-06-10 04:00:00,1.86777916694706
"83.3",2020-06-10 04:30:00,1.86777916694706
"83.4",2020-06-10 05:00:00,1.86777916694706
"83.5",2020-06-10 05:30:00,1.86777916694706
"86",2020-06-10 06:00:00,1.17296214616765
"86.1",2020-06-10 06:30:00,1.17296214616765
"86.2",2020-06-10 07:00:00,1.17296214616765
"86.3",2020-06-10 07:30:00,1.17296214616765
"86.4",2020-06-10 08:00:00,1.17296214616765
"86.5",2020-06-10 08:30:00,1.17296214616765
"89",2020-06-10 09:00:00,0.811787141653893
"89.1",2020-06-10 09:30:00,0.811787141653893
"89.2",2020-06-10 10:00:00,0.811787141653893
"89.3",2020-06-10 10:30:00,0.811787141653893
"89.4",2020-06-10 11:00:00,0.811787141653893
"89.5",2020-06-10 11:30:00,0.811787141653893
"92",2020-06-10 12:00:00,1.31196768782118
"92.1",2020-06-10 12:30:00,1.31196768782118
"92.2",2020-06-10 13:00:00,1.31196768782118
"92.3",2020-06-10 13:30:00,1.31196768782118
"92.4",2020-06-10 14:00:00,1.31196768782118
"92.5",2020-06-10 14:30:00,1.31196768782118
"95",2020-06-10 15:00:00,3.56895675131504
"95.1",2020-06-10 15:30:00,3.56895675131504
"95.2",2020-06-10 16:00:00,3.56895675131504
"95.3",2020-06-10 16:30:00,3.56895675131504
"95.4",2020-06-10 17:00:00,3.56895675131504
"95.5",2020-06-10 17:30:00,3.56895675131504
"98",2020-06-10 18:00:00,2.61490161268593
"98.1",2020-06-10 18:30:00,2.61490161268593
"98.2",2020-06-10 19:00:00,2.61490161268593
"98.3",2020-06-10 19:30:00,2.61490161268593
"98.4",2020-06-10 20:00:00,2.61490161268593
"98.5",2020-06-10 20:30:00,2.61490161268593
"101",2020-06-10 21:00:00,1.40399444122593
"101.1",2020-06-10 21:30:00,1.40399444122593
"101.2",2020-06-10 22:00:00,1.40399444122593
"101.3",2020-06-10 22:30:00,1.40399444122593
"101.4",2020-06-10 23:00:00,1.40399444122593
"101.5",2020-06-10 23:30:00,1.40399444122593
"104",2020-06-11 00:00:00,1.08652119274635
"104.1",2020-06-11 00:30:00,1.08652119274635
"104.2",2020-06-11 01:00:00,1.08652119274635
"104.3",2020-06-11 01:30:00,1.08652119274635
"104.4",2020-06-11 02:00:00,1.08652119274635
